0.014230739,7.12E-07
0.052547598,4.73E-07
0.078041631,-2.40E-07
0.116380151,-2.42E-07
0.135722692,1.66E-06
0.149065363,7.82E-06
0.162971199,2.02E-05
0.182681964,2.61E-05
0.195678072,2.85E-05
0.221280405,2.89E-05
0.240363025,2.80E-05
0.240168083,2.59E-05
0.252709328,2.32E-05
0.258904139,2.11E-05
0.271510364,1.92E-05
0.30332917,1.78E-05
0.328801542,1.68E-05
0.347884161,1.59E-05
0.373443175,1.59E-05
0.392439153,1.40E-05
0.411456792,1.23E-05
0.436907504,1.11E-05
0.475332664,1.21E-05
0.513692844,1.23E-05
0.532688823,1.04E-05
0.551706461,8.76E-06
0.596348094,7.81E-06
0.621755485,6.15E-06
0.653574291,4.72E-06
0.685458077,4.01E-06
0.723731616,3.29E-06
0.774763002,2.34E-06
0.825837707,1.87E-06
0.864111247,1.15E-06
0.90881786,9.14E-07
0.940723306,4.38E-07
0.959827585,-2.75E-07
0.998209425,1.98E-07
1.030288153,1.62E-06
1.049565713,2.81E-06
1.075233027,3.99E-06
1.107160134,3.75E-06
1.120026281,4.70E-06
1.126849238,9.45E-06
1.140386851,1.78E-05
1.153837823,2.51E-05
1.160379198,2.68E-05
1.192349624,2.70E-05
1.211410583,2.58E-05
1.224016808,2.39E-05
1.23021162,2.18E-05
1.236319791,1.87E-05
1.248882696,1.63E-05
1.287069594,1.47E-05
1.306130553,1.35E-05
1.337971019,1.23E-05
1.356988657,1.06E-05
1.376006296,8.96E-06
1.388699162,8.01E-06
1.427124322,8.96E-06
1.465527823,9.67E-06
1.491173476,1.06E-05
1.523035602,9.67E-06
1.548507975,8.72E-06
1.548399674,7.53E-06
1.593084626,7.06E-06
1.624990072,6.58E-06
1.644094352,5.87E-06
1.656765557,4.68E-06
1.695125737,4.92E-06
1.720684751,4.92E-06
1.733377616,3.97E-06
1.75893663,3.96E-06
1.784538963,4.44E-06
1.822855823,4.20E-06
1.854782929,3.96E-06
1.893099788,3.72E-06
1.912290709,3.96E-06
1.931416648,3.48E-06
1.950564248,3.25E-06
1.963798618,8.23E-06
1.97727125,1.58E-05
1.984267489,2.25E-05
1.990830524,2.44E-05
2.016497838,2.55E-05
2.029125723,2.39E-05
2.04794842,2.01E-05
2.066771117,1.63E-05
2.085723775,1.39E-05
2.09826502,1.13E-05
2.123694072,9.88E-06
2.136365277,8.70E-06
2.16183765,7.75E-06
2.193764756,7.51E-06
2.206392641,5.85E-06
2.212630773,4.18E-06
2.26383544,5.13E-06
2.302260601,6.08E-06
2.340620781,6.31E-06
2.372504567,5.60E-06
2.397933619,4.18E-06
2.436228818,3.70E-06
2.474524018,3.22E-06
2.49997473,2.04E-06
2.531988477,2.75E-06
2.563807282,1.32E-06
2.602124142,1.08E-06
2.627834776,2.74E-06
2.628008058,4.64E-06
2.647870443,1.22E-05
2.661343076,1.98E-05
2.674490805,2.39E-05
2.700049818,2.39E-05
2.719045797,2.20E-05
2.737933474,1.89E-05
2.743998325,1.53E-05
2.762972643,1.32E-05
2.781946961,1.10E-05
2.813700786,8.91E-06
2.845497931,7.24E-06
2.858104157,5.34E-06
2.883533209,3.92E-06
2.915546956,4.63E-06
2.94123593,6.05E-06
2.986094164,7.48E-06
3.030670816,5.81E-06
3.056078208,4.15E-06
3.094330087,3.20E-06
